jhu_province,jhu_country,province,country,id,value,color,Change,value_old,color_old
,Trinidad and Tobago,,Trinidad and Tobago,193,0,green,red,0,green
,Tunisia,,Tunisia,200,0.042049934,green,red,0.023653088,green
,Turkey,,Turkey,201,0.275705896,yellow,red,0.334086289,yellow
,Uganda,,Uganda,205,0.281786942,yellow,red,0.996047431,red
,Ukraine,,Ukraine,207,0.811582213,red,,0.899276112,red
,United Arab Emirates,,United Arab Emirates,227,0.968371177,red,,0.976868709,red
Falkland Islands (Malvinas),United Kingdom,Falkland Islands (Malvinas),United Kingdom,61,0,green,,1,red
Anguilla,United Kingdom,Anguilla,United Kingdom,127,0,green,,0.083333333,green
British Virgin Islands,United Kingdom,British Virgin Islands,United Kingdom,214,0.333333333,yellow,,0,green
Turks and Caicos Islands,United Kingdom,Turks and Caicos Islands,United Kingdom,235,0,green,,0.333333333,yellow
Bermuda,United Kingdom,Bermuda,United Kingdom,uk_206,0.159090909,yellow,,0.113636364,yellow
Cayman Islands,United Kingdom,Cayman Islands,United Kingdom,uk_207,1,red,,0.364864865,yellow
Channel Islands,United Kingdom,Channel Islands,United Kingdom,uk_208,0.042682927,green,,0.036585366,green
Gibraltar,United Kingdom,Gibraltar,United Kingdom,uk_209,0.045751634,green,,0.026143791,green
Guernsey,United Kingdom,Guernsey,United Kingdom,uk_210,nan,green,,nan,green
Isle of Man,United Kingdom,Isle of Man,United Kingdom,uk_211,0.030100334,green,,0.040133779,green
Jersey,United Kingdom,Jersey,United Kingdom,uk_212,nan,green,,nan,green
Montserrat,United Kingdom,Montserrat,United Kingdom,uk_213,0,green,,0,green
,United Kingdom,,United Kingdom,uk_214,0.48142412,orange,red,0.638964176,orange
,Uruguay,,Uruguay,210,0.155902004,yellow,green,0.200445434,yellow
Georgia,US,Georgia,US,67,0.727813041,orange,red,0.655452972,orange
Guam,US,Guam,US,72,0.192592593,yellow,red,0.059259259,green
Puerto Rico,US,Puerto Rico,US,173,0.957219251,red,red,0.738636364,orange
Virgin Islands,US,Virgin Islands,US,216,0,green,red,0.044444444,green
North Dakota,US,North Dakota,US,mixed_10,0.971859986,red,red,0.95256167,red
Michigan,US,Michigan,US,mixed_12,0.382199304,yellow,red,0.339974551,yellow
Maine,US,Maine,US,mixed_13,1,red,red,0.869001297,red
Ohio,US,Ohio,US,mixed_16,0.677234165,orange,red,0.682464757,orange
New Hampshire,US,New Hampshire,US,mixed_17,0.788359788,orange,red,0.741798942,orange
New York,US,New York,US,mixed_18,0.191947522,yellow,yellow,0.218826993,yellow
Vermont,US,Vermont,US,mixed_19,0.061617458,green,green,0.057766367,green
Minnesota,US,Minnesota,US,mixed_2,0.975758984,red,red,0.929884968,red
Pennsylvania,US,Pennsylvania,US,mixed_20,0.541889653,orange,red,0.575719929,orange
