province,country,id,value,color,Change,value_old,color_old
Oregon,US,mixed_42,0.653872515,orange,red,0.8149417409999999,red
Hawaii,US,mixed_47,0.019748653999999997,green,red,0.039497307,green
Utah,US,mixed_49,0.9613814759999999,red,red,0.889481947,red
Wyoming,US,mixed_50,0.5126582279999999,orange,red,0.48312236299999994,orange
Nevada,US,mixed_51,0.7408256879999999,orange,red,0.6956094359999999,orange
Colorado,US,mixed_52,0.583226044,orange,red,0.6142173989999999,orange
South Dakota,US,mixed_53,0.561620469,orange,red,0.820042644,red
Nebraska,US,mixed_54,0.688282805,orange,red,0.6089195829999999,orange
Kansas,US,mixed_55,0.509575354,orange,red,0.484096586,orange
Oklahoma,US,mixed_56,0.867132867,red,red,0.7675853559999999,orange
Iowa,US,mixed_57,0.64544676,orange,red,0.64573223,orange
Missouri,US,mixed_58,0.58954197,orange,red,0.570473757,orange
Wisconsin,US,mixed_59,1.0,red,red,0.925854953,red
Idaho,US,mixed_6,0.32386059,yellow,red,0.25844504,yellow
Illinois,US,mixed_60,0.840186825,red,red,0.851435244,red
Kentucky,US,mixed_61,0.8095728259999999,red,red,0.761451364,orange
Arkansas,US,mixed_62,0.986377925,red,red,0.739892665,orange
Tennessee,US,mixed_63,0.619669876,orange,red,0.607290234,orange
West Virginia,US,mixed_64,0.7944862159999999,orange,red,0.468671679,orange
Indiana,US,mixed_65,0.7430732309999999,orange,red,0.720456694,orange
Montana,US,mixed_7,0.087719298,green,red,0.055137845,green
,Uzbekistan,211,0.465760322,orange,red,0.444612286,orange
,Venezuela,213,1.0,red,red,1.0,red
,Vietnam,215,0.313043478,yellow,green,0.27826087,yellow
,West Bank and Gaza,,0.25130890100000003,yellow,red,0.031413613,green
,Western Sahara,236,0.0,green,green,0.0,green
,Yemen,221,0.9929824559999999,red,green,0.18028846199999998,yellow
,Zambia,222,0.798157454,green,red,1.0,red
,Zimbabwe,223,0.966666667,red,green,0.7142857140000001,orange
,Tajikistan,195,,,yellow,,
